top - 16:47:42 up  7:10,  3 users,  load average: 0.00, 0.00, 0.00
Tasks: 196 total,   1 running, 195 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.1 us,  9.1 sy,  0.0 ni, 81.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3915.9 total,    323.7 free,   1755.4 used,   2117.5 buff/cache     
MiB Swap:   3742.0 total,   3742.0 free,      0.0 used.   2160.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   8830 yahagi    20   0 2406036  76068  63100 S   0.0   1.9   0:00.31 /snap/f+
   8861 yahagi    20   0 2406668  76480  63512 S   0.0   1.9   0:00.30 /snap/f+
   8900 yahagi    20   0 2406672  76020  63180 S   0.0   1.9   0:00.34 /snap/f+
   8956 yahagi    20   0  398640   9256   8104 S   0.0   0.2   0:00.06 /usr/li+
   8973 yahagi    20   0  400604   9484   8460 S   0.0   0.2   0:00.04 /usr/li+
   9045 yahagi    20   0 1239476 265284 129160 S   0.0   6.6   0:15.84 /usr/bi+
   9232 root      20   0       0      0      0 I   0.0   0.0   0:01.57 [kworke+
   9429 root      20   0       0      0      0 I   0.0   0.0   0:00.23 [kworke+
   9772 root      20   0       0      0      0 I   0.0   0.0   0:00.03 [kworke+
   9838 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
   9852 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
   9857 yahagi    20   0   19664   3552   3296 S   0.0   0.1   0:00.00 bash /h+
   9858 yahagi    20   0   18400   2264   2136 S   0.0   0.1   0:00.00 tee -a +
